"Year","Site","Code_01","Location","Code_02","Tensile strength loss","Mass loss","Respiration"
2013,"Colombier","COL","D","COL_D",0.0168735327781015,0.00428153277802383,0.00319061534010763
2013,"Durnten","DUR","D","DUR_D",0.02537030431042,0.00424846532371871,0.00360768696470276
2013,"Herisau","HER","D","HER_D",0.0332123595567368,0.000475032739463156,0.00339802024259217
2013,"Hochdorf","HOC","D","HOC_D",0.0174905601352819,-0.00102761264126191,0.00283916226903479
2013,"Hornussen","HOR","D","HOR_D",0.020699568635591,-0.00131578651424481,0.00293482973061998
2013,"Kernenried","KER","D","KER_D",0.0398568044927942,0.00673601119883093,0.00342743286960503
2013,"Messen","MES","D","MES_D",0.00916148405683676,0.000872358989891737,0.00175482574193181
2013,"Romont","ROM","D","ROM_D",0.0178339415041888,0.00479449422056296,0.00234198045428073
2013,"Rothenthurm","ROT","D","ROT_D",0.0130867274133334,-0.00230805760392681,0.00241589155779211
2013,"Severy","SEV","D","SEV_D",0.00931837521423056,0.00385730423667115,0.00255720177474913
2013,"Colombier","COL","U1","COL_U1",0.008715909165815,0.00325716539177886,0.00213368497949921
2013,"Durnten","DUR","U1","DUR_U1",0.0247592958939901,0.00227685800769777,0.00302947280673918
2013,"Herisau","HER","U1","HER_U1",0.00967082241160631,-0.00278591536806471,0.00220496892257539
2013,"Hochdorf","HOC","U1","HOC_U1",0.0209792552191816,0.00178766161748436,0.00429205999625171
2013,"Hornussen","HOR","U1","HOR_U1",0.0326922381703539,-0.0182453149967473,0.00151037867800377
2013,"Kernenried","KER","U1","KER_U1",0.0488088659660984,0.0121270525860918,0.00439375466617307
2013,"Messen","MES","U1","MES_U1",0.00584401196448929,0.000392481053565958,0.00149673010394163
2013,"Romont","ROM","U1","ROM_U1",0.0112249981374922,0.00270937418988612,0.002448128772788
2013,"Rothenthurm","ROT","U1","ROT_U1",0.00887519376300266,-0.00160954488250605,0.00209227032680983
2013,"Severy","SEV","U1","SEV_U1",0.00882191459831106,0.00359859949147524,0.00225724916767649
